Title,Price,Location,Bed,Bath,Area,Badges,Listing Time,Thumbnail
250 Sqyds Villa Is Available On Easy Installments,2.9 Crore,"Gulshan-e-Iqbal Town, Karachi",4.0,4.0,250 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 19 hours ago (Updated: 18 hours ago),https://media.zameen.com/thumbnails/203542566-400x300.webp
Gulshan Vip Block 7 3 Bed D/d West Open Flat For Sale,1.25 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",3.0,3.0,144 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/187975848-400x300.webp
"Flat #104, Apple Garden 1st Floor Located Opposite Sharfabad School",2.25 Crore,"Sharfabad, Gulshan-e-Iqbal Town",3.0,3.0,183 Sq. Yd.,['Hot badge'],Added: 8 hours ago,https://media.zameen.com/thumbnails/203498196-400x300.webp
A Flat Of 1200 Square Feet In Karachi,1.05 Crore,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,133 Sq. Yd.,['Hot badge'],Added: 9 hours ago,https://media.zameen.com/thumbnails/187895826-400x300.webp
1300 Square Feet Flat In Gulshan-e-Iqbal - Block 16 For sale At Good Location,1.75 Crore,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,144 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 9 hours ago,https://media.zameen.com/thumbnails/201180151-400x300.webp
Buying A House In Gulshan-e-Jamal Karachi?,9.35 Crore,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",5.0,6.0,500 Sq. Yd.,['Hot badge'],Added: 9 hours ago,https://media.zameen.com/thumbnails/195892568-400x300.webp
Tripple Storey 300 Square Yards House For sale In Gulshan-e-Jamal Karachi,6.75 Crore,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",9.0,6.0,300 Sq. Yd.,['Hot badge'],Added: 9 hours ago,https://media.zameen.com/thumbnails/195489070-400x300.webp
Flat Available For Sale,2.7 Crore,"Dhoraji Colony, Gulshan-e-Iqbal Town",6.0,6.0,333 Sq. Yd.,['No badges'],Added: 3 hours ago,https://media.zameen.com/thumbnails/194041580-400x300.webp
Townhouse Available For Sale,8.5 Crore,"Mohammad Ali Society, Gulshan-e-Iqbal Town",5.0,6.0,225 Sq. Yd.,['No badges'],Added: 3 hours ago,https://media.zameen.com/thumbnails/190870700-400x300.webp
Flat Available For Sale,4.5 Crore,"Alamgir Road, Gulshan-e-Iqbal Town",3.0,4.0,222 Sq. Yd.,['No badges'],Added: 3 hours ago,https://media.zameen.com/thumbnails/188287211-400x300.webp
Newly Constructed 3 Bed DD 1 Floor Portion for Sale in Sharfabad,3 Crore,"Sharfabad, Gulshan-e-Iqbal Town",3.0,3.0,200 Sq. Yd.,['No badges'],Added: 8 hours ago (Updated: 8 hours ago),https://media.zameen.com/thumbnails/203628193-400x300.webp
Architecture Design Corner One Unit Bungalow For Sale In Gulshan-e-iqbal,6.6 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",5.0,5.0,390 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/142626548-400x300.webp
Full Renovated Bungalow For Sale On Main Sir Syed University Road,6.25 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/148879360-400x300.webp
5 ROOM APPARTMENT NEAR GULSHAN CHOWRANGI 4TH FLOOR,99 Lakh,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",3.0,2.0,133 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/203615084-400x300.webp
Corner West Open 3 Bed Drawing Dinning In Boundary Wall Project Gulshan Block 5,99 Lakh,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,2.0,133 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/198266384-400x300.webp
Buying A House In Gulshan-E-Iqbal - Block 7 Karachi?,4.6 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",4.0,4.0,200 Sq. Yd.,['Hot badge'],Added: 2 days ago,https://media.zameen.com/thumbnails/200393260-400x300.webp
Brand New House For Sale,7.6 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",6.0,6.0,240 Sq. Yd.,['Hot badge'],Added: 2 days ago,https://media.zameen.com/thumbnails/198659666-400x300.webp
Brand New Flat For Sale In Shaz Residency Scheme 33 Karachi,73 Lakh,"Shaz Residency, Gulshan-e-Iqbal Town",2.0,2.0,89 Sq. Yd.,['Hot badge'],Added: 2 days ago,https://media.zameen.com/thumbnails/203203505-400x300.webp
Prime Location 500 Square Yards House In Only Rs. 16 Crore 50 Lakh PKR,16.5 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",7.0,8.0,500 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/202533767-400x300.webp
Paradise Square - 13 E - Gulshan E Iqbal,67 Lakh,"Gulshan-e-Iqbal Town, Karachi",2.0,2.0,122 Sq. Yd.,['Hot badge'],Added: 4 days ago,https://media.zameen.com/thumbnails/201807964-400x300.webp
Triple Storey- 400 Sq Yd- Gulshan Iqbal Block 5,10.5 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",9.0,10.0,400 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 5 days ago (Updated: 5 days ago),https://media.zameen.com/thumbnails/163019840-400x300.webp
Gulshan-e-iqbal Block 13 D-1 Main 150 Ft Road Prime Location 135 Sq Yard Ground 1 Semi Commercial House Available For Sale,4 Crore,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",4.0,4.0,135 Sq. Yd.,"['Hot badge', 'Trusted badge', 'Verified badge']",Added: 6 days ago,https://media.zameen.com/thumbnails/173375392-400x300.webp
Residential Apartment For Sale In Shaz Residency,80.56 Lakh,"Shaz Residency, Gulshan-e-Iqbal Town",2.0,2.0,81 Sq. Yd.,['Hot badge'],Added: 6 days ago,https://media.zameen.com/thumbnails/170890877-400x300.webp
Bungalow Available For Sale.,5.25 Crore,"Dhoraji Colony, Gulshan-e-Iqbal Town",4.0,4.0,125 Sq. Yd.,['Hot badge'],Added: 6 days ago (Updated: 6 days ago),https://media.zameen.com/thumbnails/202834882-400x300.webp
418 Yards Bungalow For Sale In Gulshan-e-iqbal - Block 3 Near Disco Bakers,8.25 Crore,"Gulshan-e-Iqbal Town, Karachi",8.0,8.0,418 Sq. Yd.,['Hot badge'],Added: 6 days ago,https://media.zameen.com/thumbnails/202206355-400x300.webp
3 Bed D D Portion Ground 240 Sqyds Fully Furnished And Renovated,3 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/189405866-400x300.webp
"FLAT FOR SALE 2 BED D/D, TILED FLOORING",70 Lakh,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",2.0,2.0,89 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/189812070-400x300.webp
Gold Front Apartment For Sale In Gulshan E Iqbal Block 10,1.85 Crore,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",3.0,3.0,167 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 14 hours ago,https://media.zameen.com/thumbnails/203595079-400x300.webp
3 Bed D/D 2nd Floor Portion For Sale In Gulshan Block 13D3 D. C Leased (1250 Sq. Ft),85 Lakh,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",3.0,3.0,139 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 14 hours ago,https://media.zameen.com/thumbnails/203420272-400x300.webp
Gulshan Iqbal Block 16 Back National Stadium Near Buit Ul Mukkram Masjid,1.5 Crore,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,2.0,133 Sq. Yd.,['Hot badge'],Added: 18 hours ago,https://media.zameen.com/thumbnails/202427658-400x300.webp
Beautiful Well Maintained House For Sale In Gulshan-e-iqbal,3.25 Crore,"Gulshan-e-Iqbal - Block 10, Gulshan-e-Iqbal",4.0,4.0,160 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 19 hours ago,https://media.zameen.com/thumbnails/201858097-400x300.webp
Apartment Available For Sale On A Prime Location In Bahadurabad Masjid Facing,3.05 Crore,"Bahadurabad, Gulshan-e-Iqbal Town",4.0,4.0,206 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 22 hours ago,https://media.zameen.com/thumbnails/203133236-400x300.webp
Leased 3 Bed DD Flat For Sale Near Muskan Chowrangi Gulshan,1.05 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",3.0,3.0,150 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/139174112-400x300.webp
Double Storey Plus Basement Bungalow For Sale In Gulshan,3.5 Crore,"Gulshan-e-Iqbal - Block 19, Gulshan-e-Iqbal",4.0,4.0,160 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/137500560-400x300.webp
4 Bed Dd Flat For Sale Near Rab Medical And Gulshan Chowrangi,1.75 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",5.0,4.0,183 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/137159500-400x300.webp
Ground Plus 1 Bungalow For Sale On 60 Feet Wide Road Near Discovery Bakery And Rabbani Masjid Block 4 Gulshan,8.9 Crore,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",6.0,6.0,600 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/154615068-400x300.webp
Leased Flat For Sale On Main Rashid Minhas Road Gulshan Near Gulshan Chowrangi,98 Lakh,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",3.0,2.0,133 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/158812311-400x300.webp
3 Bed Dd Boundary Wall Project 4th Floor Flat For Sale,99 Lakh,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,2.0,133 Sq. Yd.,['No badges'],Added: 11 hours ago,https://media.zameen.com/thumbnails/173679058-400x300.webp
GROUND FLOOR WELL MAINTAINED AND RENOVATED PORTION IN GULSHA BLOCK 5 NEAR GULSHAN CHOWRANGI,4.75 Crore,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,3.0,400 Sq. Yd.,['No badges'],Added: 12 hours ago,https://media.zameen.com/thumbnails/188765931-400x300.webp
Luxury Executive Villas Is Available On Easy Installments,2.9 Crore,"Gulshan-e-Iqbal - Block 3, Gulshan-e-Iqbal",4.0,4.0,250 Sq. Yd.,['Trusted badge'],Added: 15 hours ago (Updated: 15 hours ago),https://media.zameen.com/thumbnails/203588716-400x300.webp
Shaz Residency Flat In Scheme 33,1.2 Crore,"Shaz Residency, Gulshan-e-Iqbal Town",2.0,2.0,117 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://media.zameen.com/thumbnails/200249256-400x300.webp
You Can Find A Gorgeous House For sale In Gulshan-e-Iqbal - Block 13/C,4 Crore,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",4.0,4.0,200 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 1 week ago,https://media.zameen.com/thumbnails/189454114-400x300.webp
"Ideal 200 Square Yards House has landed on market in Gulshan-e-Iqbal - Block 13/C, Karachi",4.3 Crore,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",4.0,4.0,200 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 1 week ago,https://media.zameen.com/thumbnails/193100756-400x300.webp
367 Sq Yard West Open Triple Storey House In Gulshan E Iqbal,4.75 Crore,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",8.0,8.0,367 Sq. Yd.,['Hot badge'],Added: 1 week ago,https://media.zameen.com/thumbnails/165658260-400x300.webp
500 Square Yard Ground + 1 House Is Available For Sale In Gulshan-e-Iqbal Block 13 D-2 Karachi,7.5 Crore,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",6.0,,500 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 2 weeks ago,https://media.zameen.com/thumbnails/202121646-400x300.webp
240 Sq Yards Portion For Sale In Gulshan E Iqbal,1.3 Crore,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,['Hot badge'],Added: 2 weeks ago (Updated: 1 week ago),https://media.zameen.com/thumbnails/202143754-400x300.webp
Bahadurabad 540 Yards Bungalow,16.5 Crore,"Bahadurabad, Gulshan-e-Iqbal Town",5.0,5.0,540 Sq. Yd.,['Hot badge'],Added: 2 weeks ago,https://media.zameen.com/thumbnails/193787436-400x300.webp
2 Bed DD Flat For Sale 3 Side Corner,66 Lakh,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",2.0,2.0,106 Sq. Yd.,['Hot badge'],Added: 2 weeks ago,https://media.zameen.com/thumbnails/199911152-400x300.webp
1st Floor Flat For Sale,60 Lakh,"Gulshan-e-Iqbal - Block 13/D-3, Gulshan-e-Iqbal",2.0,2.0,106 Sq. Yd.,['Hot badge'],Added: 2 weeks ago,https://media.zameen.com/thumbnails/161815166-400x300.webp
Sub Leased Luxurious Portion - 220 Sq Yd - West Open/corner,2.2 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,,220 Sq. Yd.,['Hot badge'],Added: 2 weeks ago (Updated: 2 weeks ago),https://media.zameen.com/thumbnails/201893286-400x300.webp
Flat For Sale,50 Lakh,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal",2.0,2.0,89 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/190694280-400x300.webp
BRAND NEW PORTION FOR SALE 120 SQUARE YARD 2BED DD ATTACH BATH,1.4 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",2.0,3.0,120 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/191801600-400x300.webp
Flat Available For Sale On Alamgir Road Near Kababjee Baker,4.1 Crore,"Alamgir Road, Gulshan-e-Iqbal Town",3.0,3.0,183 Sq. Yd.,"['Hot badge', 'Trusted badge', 'Verified badge']",Added: 22 hours ago,https://media.zameen.com/thumbnails/199305473-400x300.webp
200 Sq Yard One Unit Bungalow In Gulshan 13d2,4 Crore,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",4.0,4.0,200 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 1 day ago,https://media.zameen.com/thumbnails/183569316-400x300.webp
240 Sq. Yard Ground Floor Portion For Sale In Gulshan Blk 13 D2,2.25 Crore,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 1 day ago,https://media.zameen.com/thumbnails/201838579-400x300.webp
9 Bed D/d (240 Sq. Yard) House For Sale In Gulshan E Iqbal Block 1,5.5 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",9.0,6.0,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 1 day ago,https://media.zameen.com/thumbnails/195853578-400x300.webp
3 Bed D/D Flat For Sale In Hassan Square Apartment,2.35 Crore,"Gulshan-e-Iqbal - Block 13/D, Gulshan-e-Iqbal",3.0,3.0,161 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 1 day ago,https://media.zameen.com/thumbnails/198752864-400x300.webp
Luxury Executive Villas Is Available On Installments,2.9 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",4.0,4.0,250 Sq. Yd.,['Trusted badge'],Added: 15 hours ago (Updated: 15 hours ago),https://media.zameen.com/thumbnails/203588688-400x300.webp
Villa On Easy Installments Is Available,2.9 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",4.0,4.0,250 Sq. Yd.,['Trusted badge'],Added: 16 hours ago (Updated: 16 hours ago),https://media.zameen.com/thumbnails/203577950-400x300.webp
Villa On Easy Installments Is Available,2.9 Crore,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",4.0,4.0,250 Sq. Yd.,['Trusted badge'],Added: 16 hours ago (Updated: 16 hours ago),https://media.zameen.com/thumbnails/203571410-400x300.webp
Harmain Royal Residency Gulshan E Iqbal Block 1,1.6 Crore,"Harmain Royal Residency, Gulshan-e-Iqbal Town",3.0,3.0,161 Sq. Yd.,['Trusted badge'],Added: 17 hours ago,https://media.zameen.com/thumbnails/196431769-400x300.webp
Harmain Royal Residency Flat For Sale,1.6 Crore,"Harmain Royal Residency, Gulshan-e-Iqbal Town",3.0,3.0,150 Sq. Yd.,['Trusted badge'],Added: 17 hours ago,https://media.zameen.com/thumbnails/178694241-400x300.webp
House Available For Sale In Sadaf Cooperative Housing Society,5.9 Crore,"Sadaf Cooperative Housing Society, Gulshan-e-Iqbal Town",,,400 Sq. Yd.,['No badges'],Added: 17 hours ago,https://media.zameen.com/thumbnails/181953548-400x300.webp
Gulshan e iqbal block 17 back National stadium best project,3 Crore,"Gulshan-e-Iqbal - Block 17, Gulshan-e-Iqbal",3.0,3.0,189 Sq. Yd.,['No badges'],Added: 18 hours ago,https://media.zameen.com/thumbnails/202428978-400x300.webp
Buy West Open 1200 Square Feet Flat At Highly Affordable Price,1.45 Crore,"Gulshan-e-Iqbal - Block 16, Gulshan-e-Iqbal",3.0,3.0,133 Sq. Yd.,['No badges'],Added: 18 hours ago,https://media.zameen.com/thumbnails/193965270-400x300.webp
Ideal Flat Is Available For sale In Karachi,97 Lakh,"Gulshan-e-Iqbal - Block 13/D, Gulshan-e-Iqbal",3.0,3.0,139 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 2 weeks ago,https://media.zameen.com/thumbnails/201574658-400x300.webp
House Available For Sale In Gulshan E Iqbal Block 2 Near Abid Town,5.7 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",7.0,6.0,240 Sq. Yd.,['Hot badge'],Added: 2 weeks ago,https://media.zameen.com/thumbnails/196400511-400x300.webp
FLAT FOR SALE IN GALLANT SUMMIT APARTMENT,68 Lakh,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",2.0,2.0,122 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 3 weeks ago,https://media.zameen.com/thumbnails/186185240-400x300.webp
FLAT FOR SALE IN FIVE STAR LUXURY APARTMENT,1.45 Crore,"Gulshan-e-Iqbal - Block 14, Gulshan-e-Iqbal",3.0,3.0,167 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 3 weeks ago,https://media.zameen.com/thumbnails/184573612-400x300.webp
BRAND NEW BUNGALOW's PORTION WITH ROOF FOR SALE,2.3 Crore,"Gulshan-e-Iqbal - Block 13/D-1, Gulshan-e-Iqbal",3.0,4.0,200 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 3 weeks ago (Updated: 2 weeks ago),https://media.zameen.com/thumbnails/165776151-400x300.webp
Sharfabad 2000 Square Feet Upper Portion Up For sale,3.85 Crore,"Sharfabad, Gulshan-e-Iqbal Town",,,222 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 3 weeks ago,https://media.zameen.com/thumbnails/200501985-400x300.webp
Flat Is Available For sale In Gulshan-e-Iqbal - Block 4,2.25 Crore,"Gulshan-e-Iqbal - Block 4, Gulshan-e-Iqbal",3.0,3.0,150 Sq. Yd.,['Hot badge'],Added: 3 weeks ago (Updated: 1 week ago),https://media.zameen.com/thumbnails/200703264-400x300.webp
250 Sq Yards 2nd Floor Portion With Roof 60 Fit Road Is Available For Sale,3.25 Crore,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",3.0,3.0,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 3 weeks ago,https://media.zameen.com/thumbnails/178785581-400x300.webp
A Prime Location 240 Square Yards House Located In Gulshan-e-Iqbal - Block 1 Is Available For sale,7.48 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",,,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 weeks ago,https://media.zameen.com/thumbnails/199372033-400x300.webp
Centrally Located Prime Location House In Gulshan-e-Iqbal - Block 5 Is Available For sale,6.3 Crore,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal",,,240 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 4 weeks ago,https://media.zameen.com/thumbnails/199182875-400x300.webp
Brand New Portion For Sale 240 Square Yard Available 3bed Dd Attach Bath,3.1 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/192600325-400x300.webp
Portion For Sale,1.6 Crore,"Gulshan-e-Iqbal - Block 6, Gulshan-e-Iqbal",2.0,2.0,120 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 4 days ago,https://media.zameen.com/thumbnails/193446356-400x300.webp
Highly In-demand 275 Square Yards Upper Portion with Roof Available For Sale,3.25 Crore,"Gulshan-e-Iqbal - Block 13/C, Gulshan-e-Iqbal",4.0,4.0,278 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 1 day ago,https://media.zameen.com/thumbnails/161808994-400x300.webp
Buy A 240 Square Yards Lower Portion For sale In 60 ft wide location of Gulshan-e-Iqbal,3.1 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 1 day ago,https://media.zameen.com/thumbnails/183675419-400x300.webp
240 Yards Portion For Sale In Gulshan-e-Iqbal - Block/1,2.65 Crore,"Gulshan-e-Iqbal - Block 1, Gulshan-e-Iqbal",3.0,3.0,240 Sq. Yd.,['Hot badge'],Added: 1 day ago,https://media.zameen.com/thumbnails/199002277-400x300.webp
3 Bed DD Corner West Open Flat Available For Sale,1.25 Crore,"Gulshan-e-Iqbal - Block 13/B, Gulshan-e-Iqbal",3.0,2.0,139 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 2 days ago,https://media.zameen.com/thumbnails/192368346-400x300.webp
This Is Your Chance To Buy Flat In Gulshan-e-Iqbal,82 Lakh,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",2.0,2.0,111 Sq. Yd.,['Hot badge'],Added: 2 days ago,https://media.zameen.com/thumbnails/196390574-400x300.webp
Gulshan-e-iqbal Block 17 Back National Stadium Maymar View Flat Available For Sale,4.5 Crore,"Gulshan-e-Iqbal - Block 17, Gulshan-e-Iqbal",3.0,3.0,222 Sq. Yd.,['No badges'],Added: 18 hours ago (Updated: 17 hours ago),https://media.zameen.com/thumbnails/203567783-400x300.webp
920 Square Feet Flat For Sale In Gulshan-e-iqbal - Block 10-a Karachi,1.2 Crore,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",2.0,2.0,102 Sq. Yd.,['No badges'],Added: 19 hours ago,https://media.zameen.com/thumbnails/166634398-400x300.webp
1700 Square Feet Flat In Gulshan-E-Iqbal - Block 2 Is Best Option,2.65 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,4.0,189 Sq. Yd.,['No badges'],Added: 19 hours ago,https://media.zameen.com/thumbnails/175389129-400x300.webp
1700 Square Feet Flat In Central Gulshan-e-Iqbal - Block 2 For sale,2 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",3.0,4.0,189 Sq. Yd.,['No badges'],Added: 19 hours ago,https://media.zameen.com/thumbnails/170801392-400x300.webp
Apartment For Sale In Saima Square One,3.15 Crore,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",3.0,4.0,261 Sq. Yd.,['No badges'],Added: 19 hours ago,https://media.zameen.com/thumbnails/180580517-400x300.webp
To sale You Can Find Spacious Flat In Gulshan-e-Iqbal - Block 2,1.42 Crore,"Gulshan-e-Iqbal - Block 2, Gulshan-e-Iqbal",2.0,2.0,128 Sq. Yd.,['Verified badge'],Added: 19 hours ago,https://media.zameen.com/thumbnails/187032347-400x300.webp
